hp_id,symbol,security_id,fill_date,fill_close,prev_date,prev_close,prev_source,next_date,next_close,next_source,vs_ref_pct,neighbors_consistent,ca_adj_confirmed,ca_note,post_fill_cas
461941,AFFLE,60,2020-04-23,292.25,2020-03-03,1817.15,upload,2020-05-27,1546.15,upload,-82.62,True,False,post-fill CA factor=0.2 expected≈336.33; fill=292.25; implied_ref/fill=5.75; CAs: SPLIT 5:1@2021-10-07,SPLIT 5:1@2021-10-07
461942,AFFLE,60,2020-04-30,286.33,2020-03-03,1817.15,upload,2020-05-27,1546.15,upload,-82.97,True,False,post-fill CA factor=0.2 expected≈336.33; fill=286.33; implied_ref/fill=5.87; CAs: SPLIT 5:1@2021-10-07,SPLIT 5:1@2021-10-07
461943,AFFLE,60,2020-05-06,270.83,2020-03-03,1817.15,upload,2020-05-27,1546.15,upload,-83.89,True,False,post-fill CA factor=0.2 expected≈336.33; fill=270.83; implied_ref/fill=6.21; CAs: SPLIT 5:1@2021-10-07,SPLIT 5:1@2021-10-07
461944,AFFLE,60,2020-05-07,269.13,2020-03-03,1817.15,upload,2020-05-27,1546.15,upload,-84.0,True,False,post-fill CA factor=0.2 expected≈336.33; fill=269.13; implied_ref/fill=6.25; CAs: SPLIT 5:1@2021-10-07,SPLIT 5:1@2021-10-07
461945,AFFLE,60,2020-05-08,263.96,2020-03-03,1817.15,upload,2020-05-27,1546.15,upload,-84.3,True,False,post-fill CA factor=0.2 expected≈336.33; fill=263.96; implied_ref/fill=6.37; CAs: SPLIT 5:1@2021-10-07,SPLIT 5:1@2021-10-07
461946,AFFLE,60,2020-05-13,264.85,2020-03-03,1817.15,upload,2020-05-27,1546.15,upload,-84.25,True,False,post-fill CA factor=0.2 expected≈336.33; fill=264.85; implied_ref/fill=6.35; CAs: SPLIT 5:1@2021-10-07,SPLIT 5:1@2021-10-07
461947,AFFLE,60,2020-05-19,267.8,2020-03-03,1817.15,upload,2020-05-27,1546.15,upload,-84.08,True,False,post-fill CA factor=0.2 expected≈336.33; fill=267.80; implied_ref/fill=6.28; CAs: SPLIT 5:1@2021-10-07,SPLIT 5:1@2021-10-07
461948,AFFLE,60,2021-07-13,886.11,2021-06-08,5372.95,upload,2021-09-13,4908.95,upload,-82.76,True,False,post-fill CA factor=0.2 expected≈1028.19; fill=886.11; implied_ref/fill=5.8; CAs: SPLIT 5:1@2021-10-07,SPLIT 5:1@2021-10-07
461949,AFFLE,60,2021-07-23,871.49,2021-06-08,5372.95,upload,2021-09-13,4908.95,upload,-83.05,True,False,post-fill CA factor=0.2 expected≈1028.19; fill=871.49; implied_ref/fill=5.9; CAs: SPLIT 5:1@2021-10-07,SPLIT 5:1@2021-10-07
461950,AFFLE,60,2021-08-04,835.59,2021-06-08,5372.95,upload,2021-09-13,4908.95,upload,-83.75,True,False,post-fill CA factor=0.2 expected≈1028.19; fill=835.59; implied_ref/fill=6.15; CAs: SPLIT 5:1@2021-10-07,SPLIT 5:1@2021-10-07
461951,AFFLE,60,2021-08-10,832.69,2021-06-08,5372.95,upload,2021-09-13,4908.95,upload,-83.8,True,False,post-fill CA factor=0.2 expected≈1028.19; fill=832.69; implied_ref/fill=6.17; CAs: SPLIT 5:1@2021-10-07,SPLIT 5:1@2021-10-07
461952,AFFLE,60,2021-08-12,828.2,2021-06-08,5372.95,upload,2021-09-13,4908.95,upload,-83.89,True,False,post-fill CA factor=0.2 expected≈1028.19; fill=828.20; implied_ref/fill=6.21; CAs: SPLIT 5:1@2021-10-07,SPLIT 5:1@2021-10-07
461960,ARE&M,142,2019-01-31,744.95,,,,2025-10-28,1002.05,cron,-25.66,True,True,LIKELY adjusted (implied factor≈1.35) but no matching SPLIT/BONUS in corporate_actions,
