Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
2023-01-01,EQ,1000.00,1020.00,995.00,1005.00,1010.00,1010.00,1007.50,1200.00,900.00,1000000,1010000000,5000
2023-01-02,EQ,1010.00,1030.00,1005.00,1010.00,1025.00,1025.00,1017.50,1200.00,900.00,1200000,1220000000,6000
2023-01-03,EQ,1025.00,1040.00,1020.00,1025.00,1035.00,1035.00,1030.00,1200.00,900.00,1100000,1138500000,5500
2023-01-04,EQ,1035.00,1050.00,1030.00,1035.00,1045.00,1045.00,1040.00,1200.00,900.00,1300000,1358500000,6500
2023-01-05,EQ,1045.00,1060.00,1040.00,1045.00,1055.00,1055.00,1050.00,1200.00,900.00,1400000,1477000000,7000





